,Name,1age10.png,1age16.png,1age3.png,1age4.png,1age6.png,1age8.png,1age9.png,2age15.png,2age16.png,2age18.png,2age20.png,2age21.png,2age23.png,2age26.png,2age29.png,2age36.png,2age38.png,2age4.png,2age5.png,2age7.png,Age_Range
0,1age10.png,100.0,99.65184020996094,,,99.07363891601562,99.99466705322266,99.98968505859375,,,,,,,,,,,,,,"{u'High': 22, u'Low': 12}"
1,1age16.png,99.65184020996094,100.0,,,,97.31810760498047,97.06194305419922,,,,,,,,,,,,,,"{u'High': 23, u'Low': 13}"
2,1age3.png,,,100.0,99.53585815429688,99.93553924560547,93.99284362792969,83.26995086669922,,,,,,,,,,,,,,"{u'High': 7, u'Low': 1}"
3,1age4.png,,,99.53585815429688,100.0,99.98757934570312,98.76517486572266,94.8412094116211,,,,,,,,,,,,,,"{u'High': 8, u'Low': 2}"
4,1age6.png,99.07363891601562,,99.93553924560547,99.98757934570312,100.0,99.96672058105469,98.58051300048828,,,,,,,,,,,,,,"{u'High': 8, u'Low': 2}"
5,1age8.png,99.99466705322266,97.31810760498047,93.99284362792969,98.76517486572266,99.96672058105469,100.0,99.98667907714844,,,,,,,,,,,,,,"{u'High': 14, u'Low': 4}"
6,1age9.png,99.98968505859375,97.06194305419922,83.26995086669922,94.8412094116211,98.58051300048828,99.98667907714844,100.0,,,,,,,,,,,,,,"{u'High': 16, u'Low': 6}"
7,2age15.png,,,,,,,,100.0,96.91149139404297,99.89270782470703,99.01342010498047,89.8878402709961,86.67208862304688,,90.29134368896484,92.3868408203125,86.17837524414062,,92.89720153808594,,"{u'High': 22, u'Low': 12}"
8,2age16.png,,,,,,,,96.91149139404297,100.0,99.99190521240234,99.62113189697266,99.978515625,97.82819366455078,95.23765563964844,99.94393920898438,,97.93727111816406,,,97.2121810913086,"{u'High': 19, u'Low': 9}"
9,2age18.png,,,,,,,,99.89270782470703,99.99190521240234,100.0,99.98571014404297,99.97692108154297,99.18655395507812,99.71823120117188,99.89570617675781,98.57466888427734,99.21235656738281,90.5944595336914,92.1514892578125,99.10292053222656,"{u'High': 30, u'Low': 18}"
10,2age20.png,,,,,,,,99.01342010498047,99.62113189697266,99.98571014404297,100.0,99.97992706298828,93.95223999023438,98.49003601074219,99.44902038574219,98.02067565917969,84.31038665771484,,,83.51528930664062,"{u'High': 26, u'Low': 14}"
11,2age21.png,,,,,,,,89.8878402709961,99.978515625,99.97692108154297,99.97992706298828,100.0,99.01197052001953,99.69090270996094,99.97931671142578,99.66496276855469,99.42089080810547,,,87.92134857177734,"{u'High': 25, u'Low': 13}"
12,2age23.png,,,,,,,,86.67208862304688,97.82819366455078,99.18655395507812,93.95223999023438,99.01197052001953,100.0,95.32006072998047,99.20454406738281,91.90640258789062,99.09406280517578,,,,"{u'High': 31, u'Low': 19}"
13,2age26.png,,,,,,,,,95.23765563964844,99.71823120117188,98.49003601074219,99.69090270996094,95.32006072998047,100.0,99.85350036621094,99.83218383789062,98.62372589111328,,,94.41075134277344,"{u'High': 32, u'Low': 20}"
14,2age29.png,,,,,,,,90.29134368896484,99.94393920898438,99.89570617675781,99.44902038574219,99.97931671142578,99.20454406738281,99.85350036621094,100.0,99.95662689208984,99.94507598876953,,,87.0982437133789,"{u'High': 30, u'Low': 18}"
15,2age36.png,,,,,,,,92.3868408203125,,98.57466888427734,98.02067565917969,99.66496276855469,91.90640258789062,99.83218383789062,99.95662689208984,100.0,97.76948547363281,,,81.68824005126953,"{u'High': 23, u'Low': 13}"
16,2age38.png,,,,,,,,86.17837524414062,97.93727111816406,99.21235656738281,84.31038665771484,99.42089080810547,99.09406280517578,98.62372589111328,99.94507598876953,97.76948547363281,100.0,,,80.461181640625,"{u'High': 49, u'Low': 33}"
17,2age4.png,,,,,,,,,,90.5944595336914,,,,,,,,100.0,97.29381561279297,99.17850494384766,"{u'High': 15, u'Low': 5}"
18,2age5.png,,,,,,,,92.89720153808594,,92.1514892578125,,,,,,,,97.29381561279297,100.0,98.29149627685547,"{u'High': 8, u'Low': 2}"
19,2age7.png,,,,,,,,,97.2121810913086,99.10292053222656,83.51528930664062,87.92134857177734,,94.41075134277344,87.0982437133789,81.68824005126953,80.461181640625,99.17850494384766,98.29149627685547,100.0,"{u'High': 15, u'Low': 5}"
